culture,typeOfEntity,authorizedFormOfName,parallelFormsOfName,standardizedFormsOfName,otherFormsOfName,corporateBodyIdentifiers,datesOfExistence,history,places,legalStatus,functions,mandates,internalStructures,generalContext,descriptionIdentifier,institutionIdentifier,rules,status,levelOfDetail,revisionHistory,sources,maintenanceNotes,actorOccupations,actorOccupationNotes,subjectAccessPoints,placeAccessPoints,digitalObjectURI,digitalObjectChecksum
pt_BR,"Entidade coletiva","Assembleia Geral Constituinte e Legislativa do Império do Brasil 1823",,,,,"17-04-1823 a 12-11-1823","Acesso ao hotsite sobre a instituição https://www.camara.leg.br/internet/agencia/infograficos-html5/200-anos-do-parlamento-brasileiro/index.html","Rio de Janeiro (Capital do Império) (1808-1889)",,,,,,"BR DFCD AC1823",,,,,,,,,,,"Rio de Janeiro (Capital do Império) (1808-1889)",,
pt_BR,Pessoa,"Andrada Machado",,," Antônio Carlos Ribeiro de Andrada Machado e Silva",,"☆ 01-11-1773 † [?]",,"Santos (SP) - local de nascimento
São Paulo - local de eleição para deputado federal",,"Profissão: Juiz

Atuação política:
- Deputado da Assembleia Geral Constituinte e Legislativa do Império do Brasil de 1823, SP;
- Deputado Federal, 1841-1841, SP, Dt. Posse: 30/04/1841;
- Deputado Federal, 1844-1847, SP, Dt. Posse: 31/12/1844.",,,,BR-DFCD-1823-P7,,,,,"Registro atualizado em 28-11-2020","BRASIL. Congresso. Câmara dos Deputados. Centro de Documentação e Informação. Nominata de deputados brasileiros. 1823. [Brasília], s.d.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Santos (SP)|São Paulo",,
pt_BR,Pessoa,"Souza França",,,"Manoel Jozé de Sousa França|França",,"☆ 1780   † 08-02-1856.",,"Santa Catarina - local de nascimento
Rio de Janeiro - local de eleição para deputado federal",,"Profissão: Advogado

Atuação política:
- Deputado da Assembleia Geral Constituinte e Legislativa do Império do Brasil de 1823, RJ;
- Deputado Federal, 1826-1829, RJ, Dt. Posse: 06/05/1826;
- Deputado Federal, 1847, RJ;
- Deputado Federal, 1848-1848, RJ, Dt. Posse: 03/05/1848.",,,,BR-DFCD-1823-P39,,,,,"Registro atualizado em 28-11-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1823: lista nominal.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Rio de Janeiro|Santa Catarina",,
pt_BR,Pessoa,"Custódio Dias",,,"José Custódio Dias",,"☆ 01-01-1767   † 07-01-1838.",,"Nazaré (MG) - local de nascimento
Minas Gerais - local de eleição para deputado federal",,"Profissão: Padre

Atuação política:
- Deputado da Assembleia Geral Constituinte e Legislativa do Império do Brasil de 1823, MG.
- Deputado Federal, 1826-1829, MG, Dt. Posse: 06/05/1826;
- Deputado Federal, 1830-1833, MG, Dt. Posse: 03/05/1830;
- Deputado Federal, 1834-1835, MG, Dt. Posse: 03/05/1834.",,,,BR-DFCD-1823-P30,,,,,"Registro atualizado em 28-11-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1823: lista nominal.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Nazaré (MG)|Minas Gerais",,
pt_BR,Pessoa,Acioli,,,"Inácio Acioli de Vasconcelos",,"☆ [?]  † [?]",,"Alagoas - local de eleição para Deputado Federal",,"Profissão: Magistrado

Atuação Política:

- Deputado da Assembleia Geral Constituinte e Legislativa do Império do Brasil de 1823, AL",,,,BR-DFCD-1823-P2,,,,,"Registro atualizado em 16-11-2020.","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1823: lista nominal.","Atualizado por Thiago Borges (Segap/Coarq)",,,,Alagoas,,
pt_BR,Pessoa,"Chagas Santos",,,"Francisco das Chagas Santos",,"☆ 17-09-1763   † 12-10-1840.",,"Rio de Janeiro (RJ) - local de nascimento
São Paulo - local de eleição para deputado federal",,"Profissões: Militar e Engenheiro

Atuação política:
- Deputado da Assembleia Geral Constituinte e Legislativa do Império do Brasil de 1823, SP;
- Deputado Federal, 1826-1829, SP, Dt. Posse: 06/05/1826.",,,,BR-DFCD-1823-P24,,,,,"Registro atualizado em 28-11-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1823: lista nominal.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Rio de Janeiro|São Paulo",,
pt_BR,Pessoa,"Barão de Santo Amaro",,,"José Egídio Álvares de Almeida",,"☆ 01-09-1767 † [?]",,"Santo Amaro (BA) - local de nascimento
Rio de Janeiro - local de eleição para deputado federal",,"Profissão: Bacharel em Direito

Atuação política:
- Deputado da Assembleia Geral Constituinte e Legislativa do Império do Brasil de 1823, RJ.",,,,BR-DFCD-1823-P13,,,,,"Registro atualizado em 28-11-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1823: lista nominal.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Santo Amaro (BA)|Rio de Janeiro",,
pt_BR,Pessoa,"Andrada e Silva",,,"José Bonifácio de Andrada e Silva",,"☆ 13-06-1763 † [?]",,"Santos (SP) - local de nascimento
São Paulo - local de eleição para Deputado Federal",,"Profissões: Professor e Desembargador

Atuação política:

- Deputado da Assembleia Geral Constituinte e Legislativa do Império do Brasil de 1823, SP;
- Deputado Federal, 1831-1833, BA, . Dt. Posse: 22/06/1831.",,,,BR-DFCD-1823-P6,,,,,"Registro atualizado em 16-11-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1823: lista nominal.","Registro atualizado por Thiago Borges (Segap/Coarq)",,,,"Santos (SP)|São Paulo",,
pt_BR,,"João Antônio Rodrigues de Carvalho",,,,,,,,,,,,,,,,,,,,,,,,,,
pt_BR,Pessoa,"Paula Souza",,,"Francisco de Paula Souza e Melo|Paula e Melo",,"☆ 13-06-1791  † 16-08-1851",,"Itu (SP) - local de nascimento
São Paulo - local de eleição para deputado federal",,"Profissão: Magistrado

Atuação política:
- Deputado da Assembleia Geral Constituinte e Legislativa do Império do Brasil de 1823, SP;
- Deputado Federal, 1826-1829, SP, Dt. Posse: 06/05/1826;
- Deputado Federal, 1833, SP.",,,,BR-DFCD-1823-P62,,,,,"Registro atualizado em 29-11-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1823: lista nominal.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Itu (SP)|São Paulo",,
