subjectAuthorizedFormOfName,relationType,objectAuthorizedFormOfName,description,date,startDate,endDate,culture
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"Joaci Góes","Suplente da Comissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"João Agripino","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos Políticos dos Direitos Coletivos e das Garantias",associativo,"João Agripino","Titular da Subcomissão",,,,pt_BR
"Subcomissão de Orçamento e Fiscalização Financeira",associativo,"João Alves","Presidente da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"João Alves","Titular da Comissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"João Carlos Bacelar","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Judiciário e do Ministério Público",associativo,"João Carlos Bacelar","Suplente da Subcomissão",,,,pt_BR
"Subcomissão de Orçamento e Fiscalização Financeira",associativo,"João Carlos Bacelar","Titular da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"João Carlos Bacelar","Titular da Comissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"João Cunha","Suplente da Comissão",,,,pt_BR
"Subcomissão de Princípios Gerais Intervenção do Estado Regime da Propriedade do Subsolo e da Atividade Econômica",associativo,"João Cunha","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"João Cunha","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos dos Trabalhadores e Servidores Públicos",associativo,"João Cunha","Titular da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"João Herrmann","Titular da Comissão",,,,pt_BR
"Subcomissão da Nacionalidade da Soberania e das Relações Internacionais",associativo,"João Herrmann","Relator da Comissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"João Herrmann","Suplente da Comissão",,,,pt_BR
"Subcomissão da Ciência e Tecnologia e da Comunicação",associativo,"João Herrmann","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"João Machado Rollemberg","Suplente da Comissão",,,,pt_BR
"Subcomissão da Nacionalidade da Soberania e das Relações Internacionais",associativo,"João Machado Rollemberg","Suplente da Subcomissão",,,,pt_BR
"Subcomissão do Sistema Financeiro",associativo,"João Machado Rollemberg","Titular da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"João Machado Rollemberg","Titular da Comissão",,,,pt_BR
"Subcomissão de Orçamento e Fiscalização Financeira",associativo,"João Natal","2° Vice-Presidente da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"João Natal","Titular da Comissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"João da Mata","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Executivo",associativo,"João da Mata","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"João da Mata","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos dos Trabalhadores e Servidores Públicos",associativo,"João da Mata","Titular da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"João de Deus Antunes","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos Políticos dos Direitos Coletivos e das Garantias",associativo,"João de Deus Antunes","Suplente da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"João de Deus Antunes","Titular da Comissão",,,,pt_BR
"Subcomissão da Família do Menor e do Idoso",associativo,"João de Deus Antunes","Titular da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"João Paulo","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos Políticos dos Direitos Coletivos e das Garantias",associativo,"João Paulo","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"João Paulo","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Executivo",associativo,"João Paulo","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"João Rezek","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos Políticos dos Direitos Coletivos e das Garantias",associativo,"João Rezek","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"João Rezek","Suplente da Comissão",,,,pt_BR
"Subcomissão da Política Agrícola e Fundiária e da Reforma Agrária",associativo,"João Rezek","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Joaquim Bevilacqua","Suplente da Comissão",,,,pt_BR
"Subcomissão de Princípios Gerais Intervenção do Estado Regime da Propriedade do Subsolo e da Atividade Econômica",associativo,"Joaquim Bevilacqua","Suplente da Subcomissão",,,,pt_BR
"Subcomissão de Garantia da Constituição Reformas e Emendas",associativo,"Joaquim Francisco","Suplente da Subcomissão",,,,pt_BR
"Subcomissão de Tributos Participação e Distribuição das Receitas",associativo,"Joaquim Sucena","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Joaquim Sucena","Titular da Comissão",,,,pt_BR
"Subcomissão de Saúde Seguridade e do Meio Ambiente",associativo,"Joaquim Sucena","Titular da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"Joaquim Sucena","Suplente da Comissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"Jofran Frejat","Titular da Comissão",,,,pt_BR
"Subcomissão da União Distrito Federal e Territórios",associativo,"Jofran Frejat","Presidente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Jofran Frejat","Suplente da Comissão",,,,pt_BR
"Subcomissão de Saúde Seguridade e do Meio Ambiente",associativo,"Jofran Frejat","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Jonas Pinheiro","Titular da Comissão",,,,pt_BR
"Subcomissão da Política Agrícola e Fundiária e da Reforma Agrária",associativo,"Jonas Pinheiro","Titular da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Jonival Lucas","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"Jonival Lucas","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Jonival Lucas","Suplente da Comissão",,,,pt_BR
"Subcomissão de Princípios Gerais Intervenção do Estado Regime da Propriedade do Subsolo e da Atividade Econômica",associativo,"Jonival Lucas","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Jorge Hage","Titular da Comissão",,,,pt_BR
"Subcomissão do Poder Legislativo",associativo,"Jorge Hage","Titular da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Jorge Hage","Suplente da Comissão",,,,pt_BR
"Subcomissão da Educação Cultura e Esportes",associativo,"Jorge Hage","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Jorge Leite","Titular da Comissão",,,,pt_BR
"Subcomissão do Poder Executivo",associativo,"Jorge Leite","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Jorge Leite","Suplente da Comissão",,,,pt_BR
"Subcomissão de Princípios Gerais Intervenção do Estado Regime da Propriedade do Subsolo e da Atividade Econômica",associativo,"Jorge Leite","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Jorge Uequed","Suplente da Comissão",,,,pt_BR
"Subcomissão da Nacionalidade da Soberania e das Relações Internacionais",associativo,"Jorge Uequed","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Jorge Uequed","Titular da Comissão",,,,pt_BR
"Subcomissão de Saúde Seguridade e do Meio Ambiente",associativo,"Jorge Uequed","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Jorge Vianna","Suplente da Comissão",,,,pt_BR
"Subcomissão de Defesa do Estado da Sociedade e de sua Segurança",associativo,"Jorge Vianna","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Jorge Vianna","Titular da Comissão",,,,pt_BR
"Subcomissão da Política Agrícola e Fundiária e da Reforma Agrária",associativo,"Jorge Vianna","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"José Camargo","Suplente da Comissão",,,,pt_BR
"Subcomissão da União Distrito Federal e Territórios",associativo,"José Camargo","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"José Camargo","Titular da Comissão",,,,pt_BR
"Subcomissão de Garantia da Constituição Reformas e Emendas",associativo,"José Camargo","Titular da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"José Carlos Coutinho","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"José Carlos Coutinho","Titular da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"José Carlos Coutinho","Suplente da Comissão",,,,pt_BR
"Subcomissão da Educação Cultura e Esportes",associativo,"José Carlos Coutinho","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"José Carlos Grecco","Titular da Comissão",,,,pt_BR
"Subcomissão da Nacionalidade da Soberania e das Relações Internacionais",associativo,"José Carlos Grecco","Titular da Comissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"José Carlos Martinez","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Judiciário e do Ministério Público",associativo,"José Carlos Martinez","Suplente da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"José Carlos Martinez","Titular da Comissão",,,,pt_BR
"Subcomissão da Ciência e Tecnologia e da Comunicação",associativo,"José Carlos Martinez","2° Vice-Presidente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"José Carlos Sabóia","Titular da Comissão",,,,pt_BR
"Subcomissão dos Negros, Populações Indígenas, Pessoas Deficientes e Minorias",associativo,"José Carlos Sabóia","Titular da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"José Carlos Sabóia","Suplente da Comissão",,,,pt_BR
"Subcomissão da Educação Cultura e Esportes",associativo,"José Carlos Sabóia","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"José Carlos Vasconcellos","Suplente da Comissão",,,,pt_BR
"Subcomissão da União Distrito Federal e Territórios",associativo,"José Carlos Vasconcellos","Suplente da Subcomissão",,,,pt_BR
"Subcomissão do Sistema Financeiro",associativo,"José Carlos Vasconcellos","Titular da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"José Carlos Vasconcellos","Titular da Comissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"José Costa","Titular da Comissão",,,,pt_BR
"Subcomissão do Poder Judiciário e do Ministério Público",associativo,"José Costa","Presidente da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"José Dutra","Titular da Comissão",,,,pt_BR
"Subcomissão dos Municípios e Regiões",associativo,"José Dutra","2° Vice-Presidente da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"José Dutra","Suplente da Comissão",,,,pt_BR
"Subcomissão da Educação Cultura e Esportes",associativo,"José Dutra","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"José Egreja","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos Políticos dos Direitos Coletivos e das Garantias",associativo,"José Egreja","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"José Egreja","Titular da Comissão",,,,pt_BR
"Subcomissão da Política Agrícola e Fundiária e da Reforma Agrária",associativo,"José Egreja","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"José Elias","Suplente da Comissão",,,,pt_BR
"Subcomissão de Defesa do Estado da Sociedade e de sua Segurança",associativo,"José Elias","Suplente da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"José Elias","1° Vice-Presidente da Comissão",,,,pt_BR
"Subcomissão da Ciência e Tecnologia e da Comunicação",associativo,"José Elias","Titular da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"José Fernandes","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"José Fernandes","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"José Fernandes","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Municípios e Regiões",associativo,"José Fernandes","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"José Freire","Suplente da Comissão",,,,pt_BR
"Subcomissão de Garantia da Constituição Reformas e Emendas",associativo,"José Freire","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"José Genoíno","Titular da Comissão",,,,pt_BR
"Subcomissão de Defesa do Estado da Sociedade e de sua Segurança",associativo,"José Genoíno","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"José Geraldo","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Executivo",associativo,"José Geraldo","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"José Guedes","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Legislativo",associativo,"José Guedes","Suplente da Subcomissão",,,,pt_BR
"Subcomissão de Orçamento e Fiscalização Financeira",associativo,"José Guedes","Titular da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"José Guedes","Titular da Comissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"José Jorge","Titular da Comissão",,,,pt_BR
"Subcomissão do Poder Legislativo",associativo,"José Jorge","Relator da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"José Jorge","Suplente da Comissão",,,,pt_BR
"Subcomissão da Ciência e Tecnologia e da Comunicação",associativo,"José Jorge","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"José Lins","Presidente da Comissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"José Lins","Suplente da Comissão",,,,pt_BR
"Subcomissão da Família do Menor e do Idoso",associativo,"José Lins","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"José Lourenço","Titular da Comissão",,,,pt_BR
"Subcomissão do Poder Judiciário e do Ministério Público",associativo,"José Lourenço","Titular da Subcomissão",,,,pt_BR
"Subcomissão de Tributos Participação e Distribuição das Receitas",associativo,"José Luiz de Sá","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"José Luiz de Sá","Suplente da Comissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"José Luiz de Sá","Titular da Comissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"José Luiz Maia","Suplente da Comissão",,,,pt_BR
"Subcomissão de Orçamento e Fiscalização Financeira",associativo,"José Luiz Maia","Relator da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"José Luiz Maia","Titular da Comissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"José Maranhão","2° Vice-Presidente da Comissão",,,,pt_BR
"Subcomissão dos Municípios e Regiões",associativo,"José Maranhão","Titular da Subcomissão",,,,pt_BR
"Subcomissão de Tributos Participação e Distribuição das Receitas",associativo,"José Maria Eymael","2° Vice-Presidente da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"José Maria Eymael","Titular da Comissão",,,,pt_BR
"Subcomissão de Orçamento e Fiscalização Financeira",associativo,"José Maurício","Suplente da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"José Maurício","Suplente da Comissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"José Melo","Titular da Comissão",,,,pt_BR
"Subcomissão do Sistema Eleitoral e Partidos Políticos",associativo,"José Melo","Titular da Subcomissão",,,,pt_BR
"Subcomissão de Orçamento e Fiscalização Financeira",associativo,"José Melo","Suplente da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"José Melo","Suplente da Comissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"José Mendonça Bezerra","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"José Mendonça Bezerra","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"José Mendonça Bezerra","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Legislativo",associativo,"José Mendonça Bezerra","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"José Mendonça de Morais","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"José Mendonça de Morais","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"José Mendonça de Morais","Suplente da Comissão",,,,pt_BR
"Subcomissão da Política Agrícola e Fundiária e da Reforma Agrária",associativo,"José Mendonça de Morais","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"José Moura","Suplente da Comissão",,,,pt_BR
"Subcomissão de Princípios Gerais Intervenção do Estado Regime da Propriedade do Subsolo e da Atividade Econômica",associativo,"José Moura","Suplente da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"José Moura","Titular da Comissão",,,,pt_BR
"Subcomissão da Educação Cultura e Esportes",associativo,"José Moura","Titular da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"José Queiroz","Titular da Comissão",,,,pt_BR
"Subcomissão da Educação Cultura e Esportes",associativo,"José Queiroz","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"José Santana de Vasconcellos","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Estados",associativo,"José Santana de Vasconcellos","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"José Serra","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Estados",associativo,"José Serra","Suplente da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"José Serra","Relator da Comissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"José Tavares","Titular da Comissão",,,,pt_BR
"Subcomissão de Defesa do Estado da Sociedade e de sua Segurança",associativo,"José Tavares","Presidente da Subcomissão",,,,pt_BR
"Subcomissão do Sistema Financeiro",associativo,"José Tavares","Suplente da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"José Tavares","Suplente da Comissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"José Teixeira","Suplente da Comissão",,,,pt_BR
"Subcomissão da Nacionalidade da Soberania e das Relações Internacionais",associativo,"José Teixeira","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"José Teixeira","Titular da Comissão",,,,pt_BR
"Subcomissão dos Estados",associativo,"José Teixeira","Titular da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"José Thomaz Nonô","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"José Thomaz Nonô","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"José Thomaz Nonô","Presidente da Comissão",,,,pt_BR
"Subcomissão de Tributos Participação e Distribuição das Receitas",associativo,"José Tinoco","Titular da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"José Tinoco","Titular da Comissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"José Ulisses de Oliveira","Suplente da Comissão",,,,pt_BR
"Subcomissão do Sistema Eleitoral e Partidos Políticos",associativo,"José Ulisses de Oliveira","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"José Ulisses de Oliveira","Titular da Comissão",,,,pt_BR
"Subcomissão da Questão Urbana e Transporte",associativo,"José Ulisses de Oliveira","Relator da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"José Viana","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"José Viana","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"José Viana","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Municípios e Regiões",associativo,"José Viana","Suplente da Subcomissão",,,,pt_BR
"Subcomissão de Orçamento e Fiscalização Financeira",associativo,"Jovanni Masini","Titular da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Jovanni Masini","Suplente da Comissão",,,,pt_BR
"Subcomissão da Ciência e Tecnologia e da Comunicação",associativo,"Jovanni Masini","Suplente da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"Jovanni Masini","Titular da Comissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Juarez Antunes","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos dos Trabalhadores e Servidores Públicos",associativo,"Juarez Antunes","Titular da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Juarez Antunes","Suplente da Comissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Júlio Campos","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Legislativo",associativo,"Júlio Campos","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Júlio Campos","Titular da Comissão",,,,pt_BR
"Subcomissão de Saúde Seguridade e do Meio Ambiente",associativo,"Júlio Campos","Titular da Subcomissão",,,,pt_BR
"Subcomissão de Tributos Participação e Distribuição das Receitas",associativo,"Julio Costamilan","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Julio Costamilan","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos dos Trabalhadores e Servidores Públicos",associativo,"Julio Costamilan","Titular da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"Julio Costamilan","Suplente da Comissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"Jutahy Júnior","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Estados",associativo,"Jutahy Júnior","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Jutahy Júnior","Titular da Comissão",,,,pt_BR
"Subcomissão do Poder Executivo",associativo,"Jutahy Júnior","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Koyu Iha","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos dos Trabalhadores e Servidores Públicos",associativo,"Koyu Iha","Suplente da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Koyu Iha","Titular da Comissão",,,,pt_BR
"Subcomissão da Ciência e Tecnologia e da Comunicação",associativo,"Koyu Iha","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Lael Varella","Titular da Comissão",,,,pt_BR
"Subcomissão da Questão Urbana e Transporte",associativo,"Lael Varella","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Lélio Souza","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Judiciário e do Ministério Público",associativo,"Lélio Souza","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Lélio Souza","Titular da Comissão",,,,pt_BR
"Subcomissão do Sistema Eleitoral e Partidos Políticos",associativo,"Lélio Souza","2° Vice-Presidente da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Leopoldo Bessone","Titular da Comissão",,,,pt_BR
"Subcomissão do Poder Legislativo",associativo,"Leopoldo Bessone","Titular da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Leopoldo Bessone","Suplente da Comissão",,,,pt_BR
"Subcomissão da Educação Cultura e Esportes",associativo,"Leopoldo Bessone","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"Leur Lomanto","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Municípios e Regiões",associativo,"Leur Lomanto","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Leur Lomanto","Titular da Comissão",,,,pt_BR
"Subcomissão do Poder Executivo",associativo,"Leur Lomanto","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Levy Dias","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Legislativo",associativo,"Levy Dias","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Levy Dias","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos dos Trabalhadores e Servidores Públicos",associativo,"Levy Dias","Titular da Subcomissão",,,,pt_BR
"Subcomissão de Orçamento e Fiscalização Financeira",associativo,"Lézio Sathler","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Lézio Sathler","Suplente da Comissão",,,,pt_BR
"Subcomissão da Questão Urbana e Transporte",associativo,"Lézio Sathler","Suplente da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"Lézio Sathler","Titular da Comissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Lídice da Mata","Suplente da Comissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Lídice da Mata","Titular da Comissão",,,,pt_BR
"Subcomissão do Sistema Eleitoral e Partidos Políticos",associativo,"Lídice da Mata","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Lúcio Alcântara","Titular da Comissão",,,,pt_BR
"Subcomissão do Poder Legislativo",associativo,"Lúcio Alcântara","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Lúcio Alcântara","Suplente da Comissão",,,,pt_BR
"Subcomissão de Saúde Seguridade e do Meio Ambiente",associativo,"Lúcio Alcântara","Suplente da Subcomissão",,,,pt_BR
